Source,Quantity,TimeStamp,value
Receiving,speed,"07/07/2021, 20:51:47",749
Receiving,torque,"07/07/2021, 20:51:47",682
Receiving,current,"07/07/2021, 20:51:47",1499
Receiving,voltage,"07/07/2021, 20:51:47",837
Receiving,VFD WH,"07/07/2021, 20:51:47",874
Receiving,WinTemp1,"07/07/2021, 20:51:47",1027
Receiving,BearTemp1,"07/07/2021, 20:51:47",281
Receiving,BearTemp2,"07/07/2021, 20:51:47",946
Receiving,GearTemp,"07/07/2021, 20:51:47",706
Receiving,GearBearTemp,"07/07/2021, 20:51:47",961
Receiving,power mech,"07/07/2021, 20:51:47",1210
