Source,Quantity,TimeStamp,value
Receiving,speed,"2021/07/07, 21:01:38",600
Receiving,torque,"2021/07/07, 21:01:38",150
Receiving,current,"2021/07/07, 21:01:38",1198
Receiving,voltage,"2021/07/07, 21:01:38",1424
Receiving,VFD WH,"2021/07/07, 21:01:38",977
Receiving,WinTemp1,"2021/07/07, 21:01:38",645
Receiving,BearTemp1,"2021/07/07, 21:01:38",1034
Receiving,BearTemp2,"2021/07/07, 21:01:38",1252
Receiving,GearTemp,"2021/07/07, 21:01:38",582
Receiving,GearBearTemp,"2021/07/07, 21:01:38",173
Receiving,power mech,"2021/07/07, 21:01:38",647
