Source,Quantity,TimeStamp,value
Receiving,speed,"2021/07/07, 21:13:00",189
Receiving,torque,"2021/07/07, 21:13:00",324
Receiving,current,"2021/07/07, 21:13:00",331
Receiving,voltage,"2021/07/07, 21:13:00",824
Receiving,VFD WH,"2021/07/07, 21:13:00",998
Receiving,WinTemp1,"2021/07/07, 21:13:00",625
Receiving,BearTemp1,"2021/07/07, 21:13:00",24
Receiving,BearTemp2,"2021/07/07, 21:13:00",1084
Receiving,GearTemp,"2021/07/07, 21:13:00",1169
Receiving,GearBearTemp,"2021/07/07, 21:13:00",797
Receiving,power mech,"2021/07/07, 21:13:00",348
