Source,Quantity,TimeStamp,value
Receiving,speed,"2021/0707, 21:01:20",583
Receiving,torque,"2021/0707, 21:01:20",638
Receiving,current,"2021/0707, 21:01:20",915
Receiving,voltage,"2021/0707, 21:01:20",178
Receiving,VFD WH,"2021/0707, 21:01:20",375
Receiving,WinTemp1,"2021/0707, 21:01:20",634
Receiving,BearTemp1,"2021/0707, 21:01:20",1124
Receiving,BearTemp2,"2021/0707, 21:01:20",6
Receiving,GearTemp,"2021/0707, 21:01:20",1034
Receiving,GearBearTemp,"2021/0707, 21:01:20",299
Receiving,power mech,"2021/0707, 21:01:20",92
